What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
,,WORD 1,WORD 2,WORD 3,,,,,,,
A city that provides excellent education and employment opportunities for my children,Better transport links to schools,Inclusive,Prosperous,Safe,,,narre warren,3805,springfield,39-48,Male
"I would like to Casey to be very multicutural and accepting community by 2041. Although it is not far off it yet, but i would like it to be more engaging and ensuring that everyone is engaged within the community, whether it's a newly arrived migrants, or Australian or refugees. ","Initiating an inclusive program, where you see individuals learn, flourish and succeed despite their capabilities and race. ",inclusive,opportunity,multicultural,,,cranbourne east,3977,mayfield,19-28,Female
A country town like it used too be,Stopping the sale of land because soon there won't be any left,Friendly,Safe,Clean,,,cranbourne west,3977,mayfield,29-38,Female
"Hope the roads will be fixed,and a lot more spent on mental health places for them to get help.we need more places for children to play sport and be safe.lastly need more bus services on new housing estates",Keep shopping centres getting bigger and better ways of travelling to get the cars off the road.safer train travel and come down hard on youth vandisiam ,Safe, bright, beautiful,,,narre warren north,3804,four oaks,68+,Female
Single identity. Where you can work play and family. Family business without going anywhere,Housing estates too generic,Prosperous, community,connected,,,devon meadows ,3977,balla balla,39-48,Male
Variety of things to do. Resources and facilities. Better public transport. ,Better transport options. ,Vibrant, innovative,technology,,,belgrave ,,visitor,39-48,Male
Safe ,Traffic ,,,,,,dandenong ,,visitor,49-58,Male
Vibrant CBDs and activity centre,Better roads,People, business, technolgy,,,narre warren,3805,springfield,39-48,Male
A vibrant community with lots of options for industry and leisure,The disconnect from the city. We feel so far away,Vibrant, innovative, thoughtful ,,,officer,3809,visitor,29-38,Female
Not losing open space. Not having it over devolved. ,Skills Shortage not enough training for workforce ,investing-local,local,,,,narre warren south,3804,springfield,39-48,Male
"Want casey to think outside of the box with public transport. Small miny buses connecting to larger buses and routes. This would be good to deliver this as well as advocacy. 
Want to know why the rates in casey other southeastern council areas (Dandenong) ",Public transport,Professional,education,,,,endeavour hills,3802,four oaks,59-68,Male
Safe,Public transport,Safe, convenient,,,,endeavour hills,3802,four oaks,49-58,Female
Like st kilda,Big offices like the hub in Berwick. ,business, residential ,,,,berwick,3806,edrington,49-58,Female
Community centre,"Increase landscapes, increase park numbers",Contemporary, community, sustainable,,,warragul,,visitor,39-48,Female
Be able to move around easily. Not congested and bottlenecked ,Like to see every young person involved in meaningful activity ,Peaceful, vibrant, connected ,,,narre warren south,3804,springfield,49-58,Female
A safe and family friendly place where there are vibrant business opportunities and excellent employment opportunities for all,Reduce crime,Safe, friendly, enjoyable,,,narre warren,3805,springfield,49-58,Male
"To be a really inclusive society where everyone feels a valued member of the city, and able to participate equally.","Vastly improved public transport connecting all main centres of population in Casey, making it easier for people to do things in their own city.",Inclusive, Welcoming, Exciting,,,lynbrook,3975,river gum,68+,Female
"Highly functioning, central to business and community amenities with a focus on productivity - a destination.",Access to the city and outer suburbs.,Productive,Collaborative,Leading,,,pakenham,,visitor,29-38,Female
A place that provides great quality jobs with great public access and also in tune with providing entertainment and activities for youths,Probably a tram line through old princes highway or bigger law firms down this way so that travelling into the city for a good job and wage is not necessary,Growing, engaging, sustainable,,,pakenham,,visitor,39-48,Female
Thriving with lots of outdoor open spaces. Lots of community events where people can contribute and share ideas.,Make the traffic flow better at school drop off and pick times.,Contributative, Safe, Positive,,,berwick,3806,edrington,39-48,Female
A place where small business are supported to succeed . ,Ensure protection of bunyip food belt. Hold growth.  Change continued growth along growth boundary ,Dynamic, progressive, thriving ,,,narre warren,3805,springfield,49-58,Female
"Inspiring, lots of open places and local community events, safe.",School traffic mornings and afternoons.,Contributative, Safe, Thriving,,,berwick,3806,edrington,39-48,Female
"Young family friendly, affordable housing, high end city.",More public transport,Affordable, safe, friendly,,,narre warren,3805,springfield,29-38,Male
"Safe, reduce crime",Traffic and roads,Safe, clean, sustainable ,,,cremin,,visitor,29-38,Male
Doing a pretty good job. Everything close by and has great facilities,More public transport,Safe, family-oriented, clean ,,,carrum downs,,visitor,39-48,Male
Family friendly,Affordable housing ,Safe, clean,sustainable,,,cranbourne ,3977,balla balla,19-28,Female
Family orientated,Keeping the fields and roads up o date ,Sporting, family-oriented, community ,,,hampton park,3976,river gum,29-38,Female
"Want to live in a mansion that is two stories,  ","Live in a better house, bigger family, live in a two story house",Fun, crazy, exciting,,,hampton park,3976,river gum,0-18,Male
Fun place to live,Increase sport facilities,Nice, safe, exciting,,,hampton park,3976,river gum,0-18,Female
"Water park, chairs around the field, entertainment- movies, music venues",More parking,Fun, entertaining,playful,,,tullamarine,,visitor,0-18,Male
A safe place,More local jobs,Family-oriented, fun, safe,,,cranbourne ,3977,balla balla,0-18,Female
"Parks, shopping, parks for kick around",Less houses are more wildlife,Clean, fun, safe,,,Thomastown,,visitor,0-18,Male
The same,Nothing,Clean, exciting, safe,,,narre warren,3805,springfield,0-18,Male
The same as its good but maybe some upgrades,Tell more people to come it's a great place,Safe, bigger, sport ,,,hampton park,3976,river gum,0-18,Male
