What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
narre warren,3805.0,springfield,39-48,Male
cranbourne east,3977.0,mayfield,19-28,Female
cranbourne west,3977.0,mayfield,29-38,Female
narre warren north,3804.0,four oaks,68+,Female
devon meadows ,3977.0,balla balla,39-48,Male
narre warren,3805.0,springfield,39-48,Male
officer,3809.0,visitor,29-38,Female
narre warren south,3804.0,springfield,39-48,Male
endeavour hills,3802.0,four oaks,59-68,Male
endeavour hills,3802.0,four oaks,49-58,Female
berwick,3806.0,edrington,49-58,Female
narre warren south,3804.0,springfield,49-58,Female
narre warren,3805.0,springfield,49-58,Male
lynbrook,3975.0,river gum,68+,Female
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,49-58,Female
berwick,3806.0,edrington,39-48,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne ,3977.0,balla balla,19-28,Female
hampton park,3976.0,river gum,29-38,Female
hampton park,3976.0,river gum,0-18,Male
hampton park,3976.0,river gum,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Female
narre warren,3805.0,springfield,0-18,Male
hampton park,3976.0,river gum,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
hampton park,3976.0,river gum,19-28,Female
hampton park,3976.0,river gum,29-38,Female
narre warren,3805.0,springfield,0-18,Female
narre warren,3805.0,springfield,0-18,Male
narre warren,3805.0,springfield,0-18,Male
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne east,3977.0,mayfield,0-18,Male
berwick,3806.0,edrington,0-18,Female
hampton park,3976.0,river gum,0-18,Female
cranbourne east,3977.0,mayfield,0-18,Female
cranbourne east,3977.0,mayfield,29-38,Male
narre warren,3805.0,springfield,39-48,Male
cranbourne east,3977.0,mayfield,29-38,Male
cranbourne east,3977.0,mayfield,29-38,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,39-48,Female
hampton park,3976.0,river gum,29-38,Female
cranbourne east,3977.0,mayfield,29-38,Female
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne ,3977.0,balla balla,19-28,Female
narre warren,3805.0,springfield,29-38,Male
cranbourne ,3977.0,balla balla,29-38,Female
cranbourne east,3977.0,mayfield,19-28,Female
cranbourne ,3977.0,balla balla,19-28,Female
narre warren south,3804.0,springfield,0-18,Male
narre warren south,3804.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,29-38,Male
cranbourne ,3977.0,balla balla,39-48,Male
cranbourne ,3977.0,balla balla,0-18,Female
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,59-68,Female
narre warren,3805.0,springfield,19-28,Female
cranbourne south ,3977.0,balla balla,19-28,Female
cranbourne west,3977.0,mayfield,0-18,Male
endeavour hills,3802.0,four oaks,68+,Female
narre warren south,3804.0,springfield,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
cranbourne ,3977.0,balla balla,0-18,Male
berwick,3806.0,edrington,39-48,Female
cranbourne ,3977.0,balla balla,49-58,Male
cranbourne ,3977.0,balla balla,59-68,Male
